,mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,mcs_dl_3,mcs_ul_3,dl_kbps_3,ul_kbps_3,mcs_dl_4,mcs_ul_4,dl_kbps_4,ul_kbps_4,cpu_1,cpu_2,cpu_3,cpu_4,explode
0,8,4,6456,2472,8,4,4392,1192,6,1,2984,1608,26,20,25456,13536,0.7799988985061646,0.7004650235176086,0.7831896543502808,0.9912949204444885,1
1,22,19,10680,16992,18,15,1288,9912,10,4,6200,3112,25,20,12576,2344,0.9787908792495728,0.8335354328155518,0.812023937702179,0.7107500433921814,1
2,25,20,4008,18336,18,15,12216,4584,25,20,27376,16416,2,0,1416,344,0.9700854420661926,0.7846008539199829,1.0152734518051147,0.6548222899436951,1
3,2,0,1064,376,18,15,5544,3496,20,18,13536,15840,24,20,2152,19080,0.6474819183349609,0.6970656514167786,1.0011106729507446,0.9457076191902161,1
4,10,4,6200,2600,18,15,15840,12216,13,7,9528,3240,3,0,392,56,0.7867339849472046,0.990217387676239,0.7639921307563782,0.5087661147117615,1
5,15,11,552,1032,26,20,11448,15840,22,19,11448,14688,13,8,9144,5160,0.5601067543029785,0.9744877815246582,0.9730620980262756,0.8253699541091919,1
6,18,15,12960,14112,8,4,4968,3496,15,11,7480,3112,15,10,13536,456,0.9977928400039673,0.8264932632446289,0.7132440209388733,0.6843684911727905,1
7,26,20,7992,5992,25,20,12960,17568,5,0,4008,904,19,17,15840,10296,0.7416882514953613,0.9831785559654236,0.7655707597732544,0.9604039788246155,1
8,8,2,5160,424,18,14,13536,9912,15,9,13536,7736,25,20,11448,19080,0.664419949054718,0.9520453810691833,0.9253499507904053,0.9843089580535889,1
9,20,18,15264,12576,15,11,12960,4008,20,18,10680,3240,11,6,2280,3752,0.9862792491912842,0.784750759601593,0.7354816794395447,0.7405371069908142,1
10,24,20,6456,4776,15,9,14112,2536,26,20,23688,17568,5,0,4264,328,0.7080022096633911,0.7370784282684326,1.0049920082092285,0.6711153388023376,1
11,22,19,14688,16992,13,7,11448,6200,13,8,7992,5544,8,4,256,120,0.9887480139732361,0.883779764175415,0.835056722164154,0.4960934817790985,1
12,7,2,2536,1064,6,1,1128,1288,24,20,19848,19080,8,4,1096,1608,0.715023398399353,0.7281299829483032,1.0000356435775757,0.6768660545349121,1
13,25,20,19848,16992,7,2,3880,744,8,4,3112,1416,22,19,19848,7480,0.9997479319572449,0.7024127244949341,0.6930059194564819,0.8705469965934753,1
14,25,20,20616,15264,24,20,12576,4392,26,20,12960,3112,4,0,1864,904,0.9937760829925537,0.7524083256721497,0.7352943420410156,0.7435054779052734,1
15,7,2,4264,2024,6,1,600,176,13,8,6712,3752,26,20,25456,14688,0.8054928779602051,0.5339894890785217,0.7432113289833069,1.0028042793273926,1
16,25,20,2280,1160,8,2,1672,1544,20,17,12216,3624,25,20,28336,15840,0.5769481062889099,0.7296807169914246,0.7566704154014587,1.0116264820098877,1
17,20,17,16416,14688,18,14,9912,10680,26,20,4968,8760,18,15,1608,256,1.0081738233566284,0.9479453563690186,0.7859622836112976,0.5545731782913208,1
18,22,19,8760,17568,22,19,14688,17568,19,17,2856,12960,22,19,904,9912,0.9732321500778198,0.9894447326660156,0.9109194874763489,0.7657297849655151,1
19,22,19,12576,12576,19,17,15840,12216,25,20,11064,6712,8,2,5992,2088,0.9490818977355957,0.9872720241546631,0.7766141891479492,0.8132452368736267,1
20,13,7,5352,2664,11,6,3752,256,4,0,3496,424,20,18,17568,14688,0.6908764839172363,0.5912702083587646,0.7040632963180542,1.011983871459961,1
21,24,20,15840,14688,3,0,968,1352,7,2,5736,1672,8,2,6456,32,0.9749515056610107,0.7608042359352112,0.7901302576065063,0.6046463251113892,1
22,13,8,440,3624,15,11,6200,4392,18,15,14688,14112,7,2,4584,1800,0.6633603572845459,0.7458199262619019,1.0000423192977905,0.7964414954185486,1
23,8,2,1384,2024,15,10,6456,2984,2,0,1160,1256,26,20,16416,16992,0.7468109130859375,0.7004634141921997,0.774503767490387,0.9848896265029907,1
24,20,17,14112,14112,22,19,6456,5736,4,0,2984,1256,20,17,7992,9144,0.9957504272460938,0.7249752879142761,0.7960994839668274,0.8523083925247192,1
25,13,8,2472,5736,26,20,22920,16416,10,4,6968,208,8,4,3880,328,0.7827008366584778,1.0031607151031494,0.630699098110199,0.5974951386451721,1
26,20,17,19080,15264,4,0,1352,600,22,19,14688,12576,3,0,1224,1000,1.014716625213623,0.7005251049995422,0.9592778086662292,0.7514363527297974,1
27,15,10,9144,136,24,20,25456,15264,22,19,22920,13536,15,12,7480,8504,0.6312643885612488,1.0023174285888672,0.9956533908843994,0.9045194983482361,1
28,8,2,1096,2216,7,2,2088,1000,19,17,11448,14688,19,17,14112,12576,0.7391443252563477,0.7004097700119019,0.9977575540542603,0.9844900965690613,1
29,20,18,5544,14688,4,0,3496,16,26,20,19080,17568,13,8,9528,2216,0.9625320434570312,0.5842233300209045,0.9994965195655823,0.7175256609916687,1
30,2,0,1608,1000,8,2,4584,1192,20,18,3624,15840,26,20,12960,18336,0.7730415463447571,0.7422879338264465,0.9495128393173218,0.9836194515228271,1
31,15,11,4008,4008,15,11,4584,5544,20,17,12960,13536,13,7,9528,2088,0.7004579901695251,0.7848453521728516,0.988336443901062,0.7224028706550598,1
32,10,4,3624,3496,15,12,2280,9528,24,20,27376,14112,26,20,6712,8760,0.8001056909561157,0.8810601830482483,1.0018422603607178,0.797106146812439,1
33,15,12,6968,584,22,19,8760,18336,3,0,176,968,18,14,6200,10680,0.6520477533340454,0.9732321500778198,0.7123263478279114,0.9184291362762451,1
34,18,15,1928,12216,24,20,6456,19848,18,14,4584,10680,7,2,3112,144,0.8925068974494934,0.9717260003089905,0.8947325348854065,0.5878158211708069,1
35,18,15,9912,5544,2,0,1672,1160,2,0,696,224,22,19,19848,16416,0.7779720425605774,0.7864054441452026,0.581405758857727,1.0079818964004517,1
36,22,19,5992,9528,22,19,9144,17568,2,0,2024,904,18,15,7992,3752,0.8182290196418762,0.9742637872695923,0.767156720161438,0.7259438037872314,1
37,10,4,7736,2216,26,20,29296,5992,15,9,12576,5736,20,18,16416,12960,0.774254560470581,0.8784075379371643,0.858071506023407,0.9924482107162476,1
38,18,15,16416,13536,24,20,520,7992,13,7,1800,968,7,2,5992,616,0.9981345534324646,0.7235201001167297,0.5807681679725647,0.697746992111206,1
39,7,2,4776,176,19,17,336,11832,13,8,9528,2088,20,17,14112,12960,0.6118723750114441,0.8634997010231018,0.7175256609916687,0.9860721826553345,1
40,24,20,24496,13536,24,20,12576,1160,15,10,1416,2536,15,11,4264,680,0.9908082485198975,0.6953028440475464,0.6327902674674988,0.6060440540313721,1
41,19,17,1064,9144,24,20,1064,11832,19,17,18336,14688,8,4,1256,632,0.7768498063087463,0.8106751441955566,1.0136774778366089,0.5943960547447205,1
42,19,17,5736,6712,10,4,4968,2664,20,17,14112,14112,24,20,6456,1160,0.7538280487060547,0.7781318426132202,0.9957504272460938,0.633342981338501,1
43,24,20,6968,16992,15,9,2600,616,22,19,13536,15264,15,9,7992,2536,0.9717747569084167,0.5664609670639038,0.9825990200042725,0.6981874704360962,1
44,13,8,9912,2216,22,19,15264,16992,8,4,6200,3624,10,4,4584,1800,0.7175256609916687,0.9902234077453613,0.8349359631538391,0.7453138828277588,1
45,8,4,4264,1544,6,1,2600,1736,24,20,16992,19848,24,20,21384,5544,0.7238287329673767,0.7834638357162476,0.995747983455658,0.8287622332572937,1
46,26,20,29296,11448,18,14,7224,1256,20,18,16992,5544,6,1,392,968,0.9808663129806519,0.6595407724380493,0.8270854949951172,0.6848204731941223,1
47,18,14,3624,9912,19,17,13536,14688,20,18,15264,14112,15,10,2280,2984,0.8713746666908264,1.0029597282409668,0.9969765543937683,0.6573688983917236,1
48,26,20,25456,13536,13,8,11064,3112,10,4,1256,3368,3,0,1256,456,0.9912949204444885,0.7504964470863342,0.7481707334518433,0.6639030575752258,1
49,26,20,19848,15264,8,2,6456,1000,8,4,120,1288,13,7,4136,4392,0.9924413561820984,0.7397387623786926,0.6401817798614502,0.7499661445617676,1
50,22,19,19080,15840,26,20,10296,1544,15,12,11064,2600,24,20,18336,10680,1.0045928955078125,0.672091007232666,0.7307266592979431,0.9265704154968262,1
51,15,12,3752,376,4,0,1480,904,15,12,12216,9912,11,6,680,1480,0.5955755114555359,0.7375134825706482,0.9771113991737366,0.6094279289245605,1
52,7,2,328,696,18,15,14688,12960,7,2,584,2088,19,17,8248,5736,0.6311416029930115,0.9921831488609314,0.7431533336639404,0.7631960511207581,1
53,8,2,680,256,8,4,2664,1352,20,17,11064,14688,24,20,27376,12960,0.5356149673461914,0.6848825812339783,0.9948924779891968,0.9928291440010071,1
54,22,19,6968,18336,13,8,2472,6968,6,1,4584,1352,10,4,776,256,0.9720098376274109,0.8174878358840942,0.7880834937095642,0.5300190448760986,1
55,26,20,22152,11832,18,14,13536,9912,24,20,11832,15840,15,11,2280,2472,0.9660370349884033,0.9520453810691833,0.9739096760749817,0.6404299736022949,1
56,15,11,12216,5352,6,1,1544,632,18,15,14112,12960,8,4,3624,1928,0.8507426977157593,0.6593338847160339,0.9912477731704712,0.7326390147209167,1
57,25,20,16992,15840,5,0,3752,536,15,11,840,8248,25,20,14688,3624,0.9886301159858704,0.7307600378990173,0.8387228846549988,0.7504456043243408,1
58,11,6,328,3624,15,11,10680,2792,15,9,6456,3624,15,12,14112,9144,0.7154032588005066,0.7334198355674744,0.7146140336990356,0.9769937992095947,1
59,6,1,3880,1128,18,14,3240,5160,8,4,3880,1352,22,19,12960,15264,0.7634223699569702,0.6946232318878174,0.7047513723373413,0.9816795587539673,1
60,15,9,9912,5352,18,15,6456,11448,24,20,20616,16416,4,0,3624,504,0.8289599418640137,0.9311778545379639,1.0003247261047363,0.7280212640762329,1
61,25,20,28336,1992,15,10,12216,5736,26,20,20616,17568,15,10,5160,6200,0.7801167964935303,0.8646104335784912,1.001120686531067,0.8173331022262573,1
62,15,10,11448,4584,20,18,9144,15840,3,0,392,424,8,2,256,328,0.811540424823761,0.988398015499115,0.6290718913078308,0.5400398969650269,1
63,20,18,776,9144,6,1,3112,144,25,20,7480,17568,19,17,14112,6200,0.7662244439125061,0.6013508439064026,0.9766279458999634,0.8373262286186218,1
64,20,18,9528,15840,15,9,10296,6200,20,17,7992,2472,20,18,18336,5160,0.9906532764434814,0.8638414740562439,0.6903699636459351,0.8282202482223511,1
65,19,17,8760,15264,2,0,1384,504,15,12,8760,1192,19,17,5352,280,0.9872905015945435,0.6951661705970764,0.6801950931549072,0.6075020432472229,1
